Centroid: [40.004533, 116.322154], StdDev: [0.00899, 3.0E-5], ClassId: [127]
Centroid: [39.913654, 116.405073], StdDev: [0.01616, 5.4E-4], ClassId: [123]
Centroid: [40.007608, 116.297797], StdDev: [0.00302, 1.2E-4], ClassId: [27]
Centroid: [40.009689, 116.315043], StdDev: [3.8E-4, 0.0], ClassId: [70]
Centroid: [40.009607, 116.314975], StdDev: [0.00282, 1.0E-5], ClassId: [180]
Centroid: [40.008094, 116.31555], StdDev: [0.00982, 4.0E-5], ClassId: [106]
Centroid: [40.005163, 116.320641], StdDev: [0.01059, 8.0E-5], ClassId: [154]
Centroid: [40.006165, 116.319741], StdDev: [0.00714, 7.0E-5], ClassId: [148]
Centroid: [39.933395, 116.389987], StdDev: [0.01164, 1.7E-4], ClassId: [23]
Centroid: [40.002692, 116.499514], StdDev: [0.00734, 0.00817], ClassId: [150]
Centroid: [39.996577, 116.326053], StdDev: [0.0112, 6.0E-5], ClassId: [45]
Centroid: [39.978604, 116.449941], StdDev: [0.00424, 0.00679], ClassId: [161]
Centroid: [39.935881, 116.373014], StdDev: [0.01889, 5.9E-4], ClassId: [82]
Centroid: [39.907478, 116.393527], StdDev: [0.02139, 5.0E-4], ClassId: [103]
Centroid: [40.009578, 116.315298], StdDev: [0.00237, 1.0E-5], ClassId: [152]
Centroid: [39.9938, 116.327048], StdDev: [0.00576, 4.0E-5], ClassId: [126]
Centroid: [39.991977, 116.313765], StdDev: [0.01758, 1.2E-4], ClassId: [13]
Centroid: [40.00966, 116.315073], StdDev: [3.2E-4, 0.0], ClassId: [144]
Centroid: [40.00941, 116.297077], StdDev: [0.00219, 4.0E-5], ClassId: [42]
Centroid: [40.006745, 116.315227], StdDev: [0.01109, 1.0E-5], ClassId: [97]
Centroid: [39.933075, 116.356717], StdDev: [0.02734, 0.0012], ClassId: [37]
Centroid: [40.003565, 116.312543], StdDev: [0.00872, 1.2E-4], ClassId: [89]
Centroid: [39.908808, 116.389411], StdDev: [0.01916, 1.8E-4], ClassId: [176]
Centroid: [40.007897, 116.297495], StdDev: [0.00196, 7.0E-5], ClassId: [109]
Centroid: [40.009418, 116.314917], StdDev: [0.00531, 1.0E-5], ClassId: [36]
Centroid: [39.996206, 116.323446], StdDev: [0.02197, 7.0E-5], ClassId: [96]
Centroid: [40.010453, 116.296859], StdDev: [0.00159, 2.0E-5], ClassId: [170]
Centroid: [39.996252, 116.326631], StdDev: [0.00449, 3.0E-5], ClassId: [19]
Centroid: [39.985903, 116.422351], StdDev: [0.0021, 0.00575], ClassId: [34]
Centroid: [39.994288, 116.327401], StdDev: [0.00978, 7.0E-5], ClassId: [55]
Centroid: [39.933918, 116.383285], StdDev: [0.02105, 4.3E-4], ClassId: [174]
Centroid: [40.008978, 116.314712], StdDev: [0.00508, 3.0E-5], ClassId: [136]
Centroid: [40.009807, 116.314949], StdDev: [1.8E-4, 1.0E-5], ClassId: [134]
Centroid: [40.008957, 116.296675], StdDev: [0.0018, 3.0E-5], ClassId: [156]
Centroid: [40.004931, 116.315918], StdDev: [0.00827, 7.0E-5], ClassId: [6]
Centroid: [39.994656, 116.326911], StdDev: [0.00673, 3.0E-5], ClassId: [110]
Centroid: [39.973648, 116.328601], StdDev: [0.02068, 3.0E-4], ClassId: [15]
Centroid: [39.998581, 116.325259], StdDev: [0.01382, 8.0E-5], ClassId: [155]
Centroid: [40.009705, 116.315057], StdDev: [1.5E-4, 0.0], ClassId: [95]
Centroid: [40.009748, 116.314867], StdDev: [6.4E-4, 2.0E-5], ClassId: [22]
Centroid: [39.999653, 116.306965], StdDev: [0.00823, 2.3E-4], ClassId: [131]
Centroid: [40.00125, 116.308443], StdDev: [0.00699, 1.5E-4], ClassId: [146]
Centroid: [39.993795, 116.309807], StdDev: [0.00743, 1.0E-4], ClassId: [12]
Centroid: [40.006456, 116.321391], StdDev: [0.00639, 4.0E-5], ClassId: [151]
Centroid: [40.00582, 116.32153], StdDev: [0.00596, 4.0E-5], ClassId: [125]
Centroid: [40.007719, 116.295639], StdDev: [0.00205, 1.4E-4], ClassId: [29]
Centroid: [39.987896, 116.310124], StdDev: [0.008, 9.0E-5], ClassId: [175]
Centroid: [40.001821, 116.302799], StdDev: [0.00766, 3.2E-4], ClassId: [66]
Centroid: [40.003942, 116.314433], StdDev: [0.01255, 6.0E-5], ClassId: [128]
Centroid: [39.998513, 116.266956], StdDev: [0.0024, 9.6E-4], ClassId: [40]
Centroid: [39.999048, 116.316198], StdDev: [0.01899, 7.0E-5], ClassId: [7]
Centroid: [39.932652, 116.381553], StdDev: [0.02122, 5.0E-4], ClassId: [132]
Centroid: [40.004742, 116.321661], StdDev: [0.00732, 4.0E-5], ClassId: [8]
Centroid: [39.996403, 116.314154], StdDev: [0.01915, 9.0E-5], ClassId: [47]
Centroid: [39.934911, 116.34915], StdDev: [0.02307, 0.00161], ClassId: [147]
Centroid: [40.007271, 116.322508], StdDev: [0.00455, 2.0E-5], ClassId: [172]
Centroid: [40.005904, 116.31459], StdDev: [0.01159, 4.0E-5], ClassId: [157]
Centroid: [39.943727, 116.361959], StdDev: [0.03366, 0.0014], ClassId: [145]
Centroid: [40.000546, 116.317722], StdDev: [0.0161, 6.0E-5], ClassId: [67]
Centroid: [39.995101, 116.269995], StdDev: [0.00495, 5.9E-4], ClassId: [173]
Centroid: [40.068626, 116.585536], StdDev: [0.01491, 0.00401], ClassId: [21]
Centroid: [40.004595, 116.322243], StdDev: [0.00514, 2.0E-5], ClassId: [38]
Centroid: [39.994222, 116.31859], StdDev: [0.0186, 9.0E-5], ClassId: [72]
Centroid: [40.00538, 116.319542], StdDev: [0.0095, 6.0E-5], ClassId: [56]
Centroid: [40.009739, 116.315028], StdDev: [1.5E-4, 0.0], ClassId: [32]
Centroid: [39.932725, 116.384723], StdDev: [0.01565, 3.0E-4], ClassId: [120]
Centroid: [40.009715, 116.315104], StdDev: [1.1E-4, 0.0], ClassId: [118]
Centroid: [40.005078, 116.320923], StdDev: [0.00886, 6.0E-5], ClassId: [11]
Centroid: [40.001876, 116.32197], StdDev: [0.00758, 3.0E-5], ClassId: [54]
Centroid: [40.00464, 116.319326], StdDev: [0.01058, 8.0E-5], ClassId: [143]
Centroid: [40.009324, 116.315394], StdDev: [0.00347, 1.0E-5], ClassId: [137]
Centroid: [40.00039, 116.324752], StdDev: [0.00932, 6.0E-5], ClassId: [44]
Centroid: [39.994902, 116.317554], StdDev: [0.02027, 6.0E-5], ClassId: [88]
Centroid: [39.995399, 116.32372], StdDev: [0.0224, 9.0E-5], ClassId: [164]
Centroid: [40.004173, 116.321786], StdDev: [0.00906, 3.0E-5], ClassId: [39]
Centroid: [39.994688, 116.316805], StdDev: [0.02159, 7.0E-5], ClassId: [129]
Centroid: [40.007547, 116.295909], StdDev: [0.0013, 8.0E-5], ClassId: [68]
Centroid: [40.007404, 116.322381], StdDev: [0.00442, 2.0E-5], ClassId: [93]
Centroid: [39.985057, 116.411561], StdDev: [0.00243, 0.00154], ClassId: [14]
Centroid: [40.007975, 116.29495], StdDev: [0.00477, 3.1E-4], ClassId: [69]
Centroid: [39.994585, 116.311248], StdDev: [0.01294, 1.8E-4], ClassId: [115]
Centroid: [39.945497, 116.366934], StdDev: [0.01775, 0.00103], ClassId: [41]
Centroid: [39.996607, 116.318289], StdDev: [0.01448, 8.0E-5], ClassId: [81]
Centroid: [39.994896, 116.326805], StdDev: [0.00462, 3.0E-5], ClassId: [149]
Centroid: [39.933136, 116.370354], StdDev: [0.02711, 8.4E-4], ClassId: [90]
Centroid: [39.994911, 116.327212], StdDev: [0.00833, 5.0E-5], ClassId: [79]
Centroid: [40.031442, 116.558692], StdDev: [0.00343, 0.00811], ClassId: [108]
Centroid: [39.999614, 116.308907], StdDev: [0.00422, 1.1E-4], ClassId: [121]
Centroid: [39.989614, 116.293493], StdDev: [0.00544, 3.1E-4], ClassId: [28]
Centroid: [39.992743, 116.311864], StdDev: [0.01475, 1.8E-4], ClassId: [158]
Centroid: [39.997179, 116.284973], StdDev: [0.00131, 0.0014], ClassId: [130]
Centroid: [40.009321, 116.314995], StdDev: [0.00372, 1.0E-5], ClassId: [35]
Centroid: [40.009642, 116.315152], StdDev: [0.00141, 0.0], ClassId: [99]
Centroid: [40.002951, 116.312922], StdDev: [0.00966, 1.1E-4], ClassId: [4]
Centroid: [39.956789, 116.337733], StdDev: [0.02659, 0.001], ClassId: [33]
Centroid: [40.004112, 116.323033], StdDev: [0.00952, 5.0E-5], ClassId: [52]
Centroid: [39.936034, 116.343121], StdDev: [0.03414, 0.00142], ClassId: [178]
Centroid: [39.919562, 116.392061], StdDev: [0.02194, 3.2E-4], ClassId: [20]
Centroid: [40.005587, 116.301176], StdDev: [0.00851, 1.8E-4], ClassId: [92]
Centroid: [39.991908, 116.305016], StdDev: [0.02543, 3.2E-4], ClassId: [58]
Centroid: [39.934293, 116.386898], StdDev: [0.01467, 2.6E-4], ClassId: [75]
Centroid: [40.008896, 116.296571], StdDev: [0.00169, 3.0E-5], ClassId: [31]
Centroid: [39.999224, 116.307774], StdDev: [0.00827, 2.1E-4], ClassId: [64]
Centroid: [40.005923, 116.315694], StdDev: [0.00942, 5.0E-5], ClassId: [107]
Centroid: [39.937547, 116.376202], StdDev: [0.01761, 4.2E-4], ClassId: [5]
Centroid: [39.930959, 116.385943], StdDev: [0.01246, 2.6E-4], ClassId: [76]
Centroid: [39.999871, 116.323225], StdDev: [0.01282, 6.0E-5], ClassId: [46]
Centroid: [40.005688, 116.321248], StdDev: [0.00565, 4.0E-5], ClassId: [179]
Centroid: [39.998021, 116.276286], StdDev: [0.00183, 7.2E-4], ClassId: [26]
Centroid: [39.995731, 116.32559], StdDev: [0.01455, 8.0E-5], ClassId: [78]
Centroid: [39.931289, 116.402486], StdDev: [0.03112, 8.4E-4], ClassId: [159]
Centroid: [40.002701, 116.320068], StdDev: [0.01127, 9.0E-5], ClassId: [86]
Centroid: [40.004182, 116.321879], StdDev: [0.00659, 3.0E-5], ClassId: [51]
Centroid: [39.933591, 116.378089], StdDev: [0.02233, 5.1E-4], ClassId: [98]
Centroid: [39.997934, 116.313312], StdDev: [0.01708, 1.1E-4], ClassId: [140]
Centroid: [40.020761, 116.528942], StdDev: [0.00307, 0.00856], ClassId: [100]
Centroid: [39.99534, 116.27293], StdDev: [0.00395, 2.9E-4], ClassId: [113]
Centroid: [39.998348, 116.279325], StdDev: [0.0016, 0.00115], ClassId: [105]
Centroid: [39.998574, 116.263461], StdDev: [0.00159, 6.6E-4], ClassId: [139]
Centroid: [39.989417, 116.317313], StdDev: [0.01381, 5.0E-5], ClassId: [60]
Centroid: [39.996572, 116.299922], StdDev: [0.01263, 1.4E-4], ClassId: [43]
Centroid: [40.004665, 116.322866], StdDev: [0.00596, 5.0E-5], ClassId: [16]
Centroid: [40.002449, 116.320374], StdDev: [0.01348, 8.0E-5], ClassId: [166]
Centroid: [40.009137, 116.315258], StdDev: [0.00483, 1.0E-5], ClassId: [171]
Centroid: [40.003562, 116.322718], StdDev: [0.01028, 4.0E-5], ClassId: [117]
Centroid: [39.921168, 116.390947], StdDev: [0.02539, 3.0E-4], ClassId: [77]
Centroid: [40.006615, 116.298493], StdDev: [0.0093, 2.3E-4], ClassId: [30]
Centroid: [39.938039, 116.398969], StdDev: [0.03819, 0.00144], ClassId: [59]
Centroid: [39.999992, 116.325009], StdDev: [0.01283, 7.0E-5], ClassId: [71]
Centroid: [39.990434, 116.316461], StdDev: [0.02206, 8.0E-5], ClassId: [49]
Centroid: [40.001887, 116.324212], StdDev: [0.0095, 5.0E-5], ClassId: [25]
Centroid: [39.999093, 116.300413], StdDev: [0.01217, 1.9E-4], ClassId: [111]
Centroid: [39.996693, 116.309314], StdDev: [0.00521, 1.0E-4], ClassId: [101]
Centroid: [39.993087, 116.271778], StdDev: [0.00448, 4.1E-4], ClassId: [104]
Centroid: [40.009671, 116.315012], StdDev: [6.1E-4, 0.0], ClassId: [119]
Centroid: [39.931796, 116.387769], StdDev: [0.0186, 2.5E-4], ClassId: [10]
Centroid: [40.009583, 116.315452], StdDev: [0.0018, 2.0E-5], ClassId: [85]
Centroid: [39.994902, 116.326542], StdDev: [0.00806, 2.0E-5], ClassId: [135]
